StrongsNumber,GreekWord,Definition
G1,a/al'-fah,"of Hebrew origin; the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: --Alpha. Often used (usually an, before a vowel) also in composition (as a contraction from 427) in the sense of privation; so, in many words, beginning with this letter; occasionally in the sense of union (as a contraction of 260). see G427 see G260"
G2,Aaron/ah-ar-ohn',"of Hebrew origin (175); Aaron, the brother of Moses:--Aaron. see H175"
G3,Abaddon/ab-ad-dohn',of Hebrew origin (11); a destroying angel:--Abaddon. see H11
G4,abares/ab-ar-ace',"from 1 (as a negative particle) and 922; weightless, i.e. (figuratively) not burdensome:--from being burdensome. see G1 see G922"
G5,Abba/ab-bah',of Chaldee origin (2); father as a vocative:--Abba. see H2
G6,Abel/ab'-el,"of Hebrew origin (1893); Abel, the son of Adam:--Abel. see H1893"
G7,Abia/ab-ee-ah',"of Hebrew origin (29); Abijah, the name of two Israelites:--Abia. see H29"
G8,Abiathar/ab-ee-ath'-ar,"of Hebrew origin (54); Abiathar, an Israelite:--Abiathar. see H54"
G9,Abilene/ab-ee-lay-nay',"of foreign origin (compare 58); Abilene, a region of Syria:--Abilene. see H58"
G10,Abioud/ab-ee-ood',"of Hebrew origin (31); Abihud, an Israelite:--Abiud. see H31"
G11,Abraam/ab-rah-am',"of Hebrew origin (85); Abraham, the Hebrew patriarch:--Abraham. (In Acts 7:16 the text should probably read Jacob.) see H85"
G12,abussos/ab'-us-sos,"from 1 (as a negative particle) and a variation of 1037; depthless, i.e. (specially) (infernal) ""abyss"":--deep, (bottomless) pit. see G1 see G1037"
G13,Agabos/ag'-ab-os,"of Hebrew origin (compare 2285); Agabus, an Israelite:--Agabus. see H2285"
G14,agathoergeo/ag-ath-er-gheh'-o,from 18 and 2041; to work good:--do good. see G18 see G2041
G29,aggareuo/ang-ar-yew'-o,"of foreign origin (compare 104); properly, to be a courier, i.e. (by implication) to press into public service:--compel (to go). see H104"
G30,aggeion/ang-eye'-on,"from aggos (a pail, perhaps as bent; compare the base of 43); a receptacle:--vessel. see G43"
G31,aggelia/ang-el-ee'-ah,"from 32; an announcement, i.e. (by implication) precept:-- message. see G32"
G32,aggelos/ang'-el-os,"from aggello (probably derived from 71; compare 34) (to bring tidings); a messenger; especially an ""angel""; by implication, a pastor:--angel, messenger. see G71 see G34"
G33,age/ag'-eh,"imperative of 71; properly, lead, i.e. come on:--go to. see G71"
G34,agele/ag-el'-ay,from 71 (compare 32); a drove:--herd. see G71 see G32
G35,agenealogetos/ag-en-eh-al-og'-ay-tos,from 1 (as negative particle) and 1075; unregistered as to birth:--without descent. see G1 see G1075
G36,agenes/ag-en-ace',"from 1 (as negative particle) and 1085; properly, without kin, i.e. (of unknown descent, and by implication) ignoble:-- base things. see G1 see G1085"
G37,hagiazo/hag-ee-ad'-zo,"from 40; to make holy, i.e. (ceremonially) purify or consecrate; (mentally) to venerate:--hallow, be holy, sanctify. see G40"
G38,hagiasmos/hag-ee-as-mos',"from 37; properly, purification, i.e. (the state) purity; concretely (by Hebraism) a purifier:--holiness, sanctification. see G37"
G39,hagion/hag'-ee-on,"neuter of 40; a sacred thing (i.e. spot):--holiest (of all), holy place, sanctuary. see G40"
G40,hagios/hag'-ee-os,"from hagos (an awful thing) (compare 53, 2282); sacred (physically, pure, morally blameless or religious, ceremonially, consecrated):--(most) holy (one, thing), saint. see G53 see G2282"
G41,hagiotes/hag-ee-ot'-ace,"from 40; sanctity (i.e. properly, the state):--holiness. see G40"
G57,agnostos/ag'-noce-tos',from 1 (as negative particle) and 1110; unknown:--unknown. see G1 see G1110
G58,agora/ag-or-ah',"from ageiro (to gather; probably akin to 1453); properly, the town-square (as a place of public resort); by implication, a market or thoroughfare:--market(-place), street. see G1453"
G59,agorazo/ag-or-ad'-zo,"from 58; properly, to go to market, i.e. (by implication) to purchase; specially, to redeem:--buy, redeem. see G58"
G60,agoraios/ag-or-ah'-yos,"from 58; relating to the market-place, i.e. forensic (times); by implication, vulgar:--baser sort, low. see G58"
G61,agra/ag'-rah,from 71; (abstractly) a catching (of fish); also (concretely) a haul (of fish):- -draught. see G71
G62,agrammatos/ag-ram-mat-os,"from 1 (as negative particle) and 1121; unlettered, i.e. illiterate:--unlearned. see G1 see G1121"
G63,agrauleo/ag-row-leh'-o,from 68 and 832 (in the sense of 833); to camp out:--abide in the field. see G68 see G832 see G833
G64,agreuo/ag-rew'-o,"from 61; to hunt, i.e. (figuratively) to entrap:--catch. see G61"
G65,agrielaios/ag-ree-el'-ah-yos,from 66 and 1636; an oleaster:--olive tree (which is) wild. see G66 see G1636
G66,agrios/ag'-ree-os,"from 68; wild (as pertaining to the country), literally (natural) or figuratively (fierce):--wild, raging. see G68"
G67,Agrippas/ag-rip'-pas,"apparently from 66 and 2462; wild-horse tamer; Agrippas, one of the Herods:--Agrippa. see G66 see G2462"
G68,agros/ag-ros',"from 71; a field (as a drive for cattle); genitive case, the country; specially, a farm, i.e. hamlet:--country, farm, piece of ground, land. see G71"
G69,agrupneo/ag-roop-neh'-o,"ultimately from 1 (as negative particle) and 5258; to be sleepless, i.e. keep awake:--watch. see G1 see G5258"
G70,agrupnia/ag-roop-nee'-ah,"from 69; sleeplessness, i.e. a keeping awake:--watch. see G69"
G83,adelotes/ad-ay-lot'-ace,from 82; uncertainty:--X uncertain. see G82
G84,adelos/ad-ay'-loce,adverb from 82; uncertainly:--uncertainly. see G82
G85,ademoneo/ad-ay-mon-eh'-o,"from a derivative of adeo (to be sated to loathing); to be in distress (of mind):--be full of heaviness, be very heavy."
G86,haides/hah'-dace,"from 1 (as negative particle) and 1492; properly, unseen, i.e. ""Hades"" or the place (state) of departed souls:--grave, hell. see G1 see G1492"
G87,adiakritos/ad-ee-ak'-ree-tos,"from 1 (as a negative particle) and a derivative of 1252; properly, undistinguished, i.e. (actively) impartial:-- without partiality. see G1 see G1252"
G88,adialeiptos/ad-ee-al'-ipe-tos,"from 1 (as a negative particle) and a derivative of a compound of 1223 and 3007; unintermitted, i.e. permanent:-- without ceasing, continual. see G1 see G1223 see G3007"
G89,adialeiptos/ad-ee-al-ipe'-toce,"adverb  from 88; uninterruptedly, i.e. without omission (on an appropriate occasion):--without ceasing. see G88"
G90,adiaphthoria/ad-ee-af-thor-ee'-ah,"from a derivative of a compound of 1 (as a negative particle) and a derivative of 1311; incorruptibleness, i.e. (figuratively) purity (of doctrine):-- uncorruptness. see G1 see G1311"
G91,adikeo/ad-ee-keh'-o,"from 94; to be unjust, i.e. (actively) do wrong (morally, socially or physically):--hurt, injure, be an offender, be unjust, (do, suffer, take) wrong. see G94"
G92,adikema/ad-eek'-ay-mah,"from 91; a wrong done:--evil doing, iniquity, matter of wrong. see G91"
G93,adikia/ad-ee-kee'-ah,"from 94; (legal) injustice (properly, the quality, by implication, the act); morally, wrongfulness (of character, life or act):--iniquity, unjust, unrighteousness, wrong. see G94"
G94,adikos/ad'-ee-kos,from 1 (as a negative particle) and 1349; unjust; by extension wicked; by
G107,Azor/ad-zore',"of Hebrew origin (compare 5809); Azor, an Israelite:--Azorigin see H5809"
G108,Azotos/ad'-zo-tos,"of Hebrew origin (795); Azotus (i.e. Ashdod), a place in Palestine:-- Azotus. see H795"
G109,aer/ah-ayr',"from aemi (to breathe unconsciously, i.e. respire; by analogy, to blow); ""air"" (as naturally circumambient):--air. Compare 5594. see G5594"
G110,athanasia/ath-an-as-ee'-ah,from a compound of 1 (as a negative particle) and 2288; deathlessness:--immortality. see G1 see G2288
G111,athemitos/ath-em'-ee-tos,"from 1 (as a negative particle) and a derivative of themis (statute; from the base of 5087); illegal; by implication, flagitious:--abominable, unlawful thing. see G1 see G5087"
G112,atheos/ath'-eh-os,from 1 (as a negative particle) and 2316; godless:--without God. see G1 see G2316
G113,athesmos/ath'-es-mos,"from 1 (as a negative particle) and a derivative of 5087 (in the sense of enacting); lawless, i.e. (by implication) criminal:--wicked. see G1 see G5087"
G114,atheteo/ath-et-eh'-o,"from a compound of 1 (as a negative particle) and a derivative of 5087; to set aside, i.e. (by implication) to disesteem, neutralize or violate:--cast off, despise, disannul, frustrate, bring to nought, reject. see G1 see G5087"
G115,athetesis/ath-et'-ay-sis,"from 114; cancellation (literally or figuratively):--disannulling, put away. see G114"
G116,Athenai/ath-ay-nahee,"plural of Athene (the goddess of wisdom, who was reputed to have founded the city); Athenoe, the capitol of Greece:-- Athens."
G117,Athenaios/ath-ay-nah'-yos,from 116; an Athenoean or inhabitant of Athenae:--Athenian. see G116
G118,athleo/ath-leh'-o,from athlos (a contest in the public lists); to contend in the competitive games:--strive. hoemorrhage:--diseased with an issue of blood. see G129 see G4482
G132,Aineas/ahee-neh'-as,"of uncertain derivation; Aeneas, an Israelite:--Aeneas."
G133,ainesis/ah'-ee-nes-is,"from 134; a praising (the act), i.e. (specially) a thank(-offering):--praise. see G134"
G134,aineo/ahee-neh'-o,from 136; to praise (God):--praise. see G136
G135,ainigma/ah'-ee-nig-ma,"from a derivative of 136 (in its primary sense); an obscure saying (""enigma""), i.e. (abstractly) obscureness:--X darkly. see G136"
G136,ainos/ah'-ee-nos,"apparently a prime word; properly, a story, but used in the sense of 1868; praise (of God):--praise. see G1868"
